企业名称,法定代表人,联系电话,省份,城市,地址,邮箱,网址,经营范围,企业类型,注册资本（万元）,币种,成立日期,统一社会信用代码,所属行业,行业代码,是否有进出口贸易,组织机构代码,经营状态,股票代码,公司名称,英文名称,公司网址,上市市场,公司业务,港股股份数目,主席,主要持股人,董事,公司秘书,注册办事处,公司总部,股份过户登记处,核数师,主要往来银行,法律顾问,电邮地址,区县,参保人数,注册资本,统一信用代码,公司代码,上市板块,A股代码,A股简称,A股上市日期,A股总股本(万股),A股流通股本(万股),B股代码,B股简称,B股上市日期,B股总股本(万股),B股流通股本(万股),发行价格,主承销商,公司简介,主营业务
  何氏蹦蹦鱼（广州）生态渔业开发有限公司,  何德,  —,  广东,  广州市,  广州市天河区元岗路310号自编3栋C401、C402单元(仅限办公),  ,  http://www.hsbby.com,  内陆养殖;数据处理和存储服务;软件开发;物业管理;供应链管理;水产品批发;水产品零售;信息系统集成服务;商业特许经营;预包装食品批发;预包装食品零售;散装食品零售;小吃服务;熟食零售,  有限责任公司(自然人独资),  666.6666,  人民币,  2017-08-31,  91440101MA59THQJXL,  A 农、林、牧、渔业,  04,  ,  MA59THQJ-X,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  卢氏县朱阳关刘家坡渔业养殖农民专业合作社,  张建楼,  —,  河南,  三门峡市,  卢氏县朱阳关镇杜店村7组26号,  498416410@qq.com,  ,  组织采购、供应成员所需的渔业养殖生产资料;组织收购、销售成员及同类生产经营者的渔业养殖产品;开展成员所需的渔业养殖产品包装、贮存等服务;引进渔业养殖新品种、新技术;开展与渔业养殖有关的技术交流和咨询服务。,  农民专业合作社,  200,  人民币,  2017-08-21,  93411224MA44A9218M,  A 农、林、牧、渔业,  04,  ,  MA44A921-8,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  台州广源渔业有限公司,  郑友满,  0576-88891117；0576-88821117,  浙江,  台州市,  浙江省台州市椒江区下大陈西嘴头52-1号、52-5号,  tzgyyy@sina.cn,  www.tzdcyp.com,"  水产养殖,鱼苗培育,初级水产冷冻、销售,食品零售,农业观光服务。",  有限责任公司(自然人投资或控股),  10000,  人民币,  2015-07-29,  91331002350204273P,  A 农、林、牧、渔业,  04,  ,  35020427-3,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  四会市兴富水产养殖有限公司,  邢晓剑,  —,  广东,  肇庆市,  四会市江谷镇新屋村三防路侧谭口经济合作社房屋001号,  ,  ,  水产养殖及销售;水果种植及销售;蛇类养殖及销售。(以上项目均),  有限责任公司(自然人独资),  500,  人民币,  2019-01-29,  91441284MA52UKBW81,  A 农、林、牧、渔业,  04,  ,  MA52UKBW-8,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  宁波市鄞州区奥海远洋渔业有限公司,  马建德,  0574-88107872,  浙江,  宁波市,  浙江省宁波市鄞州区蝶缘路258号2601-4室,  416206866@qq.com,  ,"  远洋捕捞;水产养殖;水产品冷冻加工(限分支机构经营);船用设备、船用仪器销售;自营或代理货物和技术的进出口,但国家限制经营或禁止进出口的货物和技术除外。",  有限责任公司(自然人投资或控股),  500,  人民币,  2017-09-26,  91330212MA2AEJXC66,  A 农、林、牧、渔业,  04,  是,  MA2AEJXC-6,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  安徽长江渔歌渔业股份有限公司,  胡光春,  0553-6327240；0553-2521868,  安徽,  芜湖市,  芜湖市鸠江区沈巷镇裕溪社区合裕路东侧现代渔业园区内,  121085035@qq.com,  www.ahcjyg.com,"  水产品养殖、加工、销售,农作物及苗木花卉种植、销售,渔用饲料销售,餐饮服务,垂钓服务,道路货运,渔业养殖技术领域内的技术研发、技术咨询、技术服务,自营和代理各类商品和技术的进出口业务)。",  股份有限公司(非上市、外商投资企业投资),  3600,  人民币,  2016-09-19,  91340200MA2N0MRH28,  A 农、林、牧、渔业,  04,  是,  MA2N0MRH-2,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  宿迁市苏渔水产科技有限公司,  王丽萍,  —,  江苏,  宿迁市,  宿迁市湖滨新区黄墩镇英庄村,  无2963682909@qq.com,  www.xyrsc.cn,"  水产品苗种培育,水产品养殖,渔需物资销售,水产品贸易。",  有限责任公司(自然人独资),  100,  人民币,  2014-12-30,  91321392330820423J,  A 农、林、牧、渔业,  04,  ,  33082042-3,  迁出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  尤溪县闽湖休闲渔业有限公司,  李丰,  0591-87509790；0591-87502565,  福建,  三明市,  福建省三明市尤溪县西城镇城西大道1号二层,  349681055@qq.com,  ,  水产养殖;水产品收购、冷冻、批发及零售;水产品研究开发;渔业捕捞;旅游项目开发、建设、经营;对旅游业的投资;旅游景区管理;旅游景点酒店管理;旅游咨询服务;旅游工艺品)设计、制作、代理、批发、零售;农副产品销售;生态旅游产业综合开发经营与服务;文化创意产业经营管理;教育实践基地、娱乐休闲服务中心及商业网点管理服务;餐饮服务、住宿服务;展示展览;教育咨询;科研、文化、艺术的交流、培训。,  有限责任公司（非自然人投资或控股的法人独资）,  3000,  人民币,  2017-11-27,  91350426MA2YQT7G8A,  A 农、林、牧、渔业,  04,  ,  MA2YQT7G-8,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  峨边彝族自治县渔樵渡农业旅游开发有限公司,  刘浩,  0833-5122288,  四川,  乐山市,  峨边县沙坪镇景阳路31号,  792883567@qq.com,  ,  农业科技开发、推广应用;观光农业基础设施开发、建设;农业新品种的引进、推广;农产品生产、收购、加工、销售;乡村旅游及农家乐、民宿;销售:农业生产资料、农机、苗木、饲料。,  其他有限责任公司,  822.5,  人民币,  2017-10-13,  91511132MA63NTAL0R,  A 农、林、牧、渔业,  04,  ,  MA63NTAL-0,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  广东大汇亚远洋渔业有限公司,  李仕勤,  —,  广东,  深圳市,  深圳市福田区莲花街道狮岭社区景田路77号擎天华庭擎天阁、华庭阁擎天阁29F,  122188281@qq.com,  ,"  水产品、船舶机械设备、渔需物资、电子产品、日用百货、建筑材料的销售;国内贸易;投资兴办实业(具体项目另行申报);劳务技术咨询;货物进出口业务。,限制的项目须取得许可后方可经营)^远洋捕捞;海产品冷藏运输;劳务服务;水产养殖;农副产品的销售。",  有限责任公司,  8000,  人民币,  2017-09-14,  91440300MA5EQG477M,  A 农、林、牧、渔业,  04,  是,  MA5EQG47-7,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  广东海祥渔业有限公司,  李博韬,  —,  广东,  广州市,  广州市南沙区望江二街1号中惠璧珑湾自编11栋1712房(仅限办公用途),  ,  ,  海水养殖;远洋捕捞;水产品批发;货物进出口);技术进出口;商品批发贸易);商品零售贸易);企业自有资金投资,  有限责任公司(自然人投资或控股),  3080,  人民币,  2017-11-21,  91440101MA5ALT8A10,  A 农、林、牧、渔业,  04,  是,  MA5ALT8A-1,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  广州宇顺渔业发展有限责任公司,  李志明,  —,  广东,  广州市,  广州市番禺区石楼镇海滨大道20号(自主申报),  13602748308@163.com,  ,  海水养殖;内陆养殖;内陆捕捞;近海捕捞,  有限责任公司(自然人投资或控股),  200,  人民币,  2017-11-28,  91440101MA5AM3WFXY,  A 农、林、牧、渔业,  04,  ,  MA5AM3WF-X,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  广州锐沣渔业发展有限公司,  池金泉,  —,  广东,  广州市,  广州市番禺区石楼镇沙北村20队“伍娣东间”(土名),  672822469@qq.com,  ,  内陆养殖;鱼种培育、养殖;鱼病防治服务;渔业机械服务;销售本公司生产的产品;涉及许可经营的产品需取得许可证后方可经营),  有限责任公司(自然人投资或控股),  100,  人民币,  2018-02-23,  91440101MA5AQ9NJ32,  A 农、林、牧、渔业,  04,  ,  MA5AQ9NJ-3,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  广西海蓝深海渔业有限公司,  彭华,  0771-3348366,  广西,  南宁市,  南宁市青秀区竹溪路29号山水花都秀竹花园综合楼18层1802号房,  1334475586@qq.com,  www.seablue-fisheries.com,"  远洋捕捞信息咨询服务;渔业用品和设备、海产品、水产品、冷冻设备、船舶及配件、食品(具体以审批部门核定为准)、日用百货、化妆品的销售;船舶维修;船舶租赁;自营和代理一般经营项目商品和技术的进出口业务,许可经营项目商品和技术的进出口业务须取得国家专项审批后方可经营)。",  有限责任公司(自然人投资或控股),  3000,  人民币,  2014-12-12,  914501003226107929,  A 农、林、牧、渔业,  04,  是,  32261079-2,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  康乐县恒达渔业养殖农民专业合作社,  晏宏博,  —,  甘肃,  临夏回族自治州,  甘肃省临夏州康乐县胭脂镇晏家村晏家34号,  597232291@qq.com,  ,"  鱼的养殖销售(需经审批的项目,经相关部门批准后方可开展经营活动)***",  农民专业合作社,  280,  人民币,  2018-06-26,  93622922MA744AY840,  A 农、林、牧、渔业,  04,  ,  MA744AY8-4,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  开封市祥符区杜良乡渔兴源水产养殖农民专业合作社,  张利红,  —,  河南,  开封市,  开封市祥符区杜良乡三里寨村,  13346773972@163.com,  ,  为成员提供水产养殖、销售;以及与之有关的技术信息服务。,  农民专业合作社,  60,  人民币,  2017-08-09,  93410212MA448U3B2W,  A 农、林、牧、渔业,  04,  ,  MA448U3B-2,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  扎赉特旗金福源水产养殖专业合作社,  尹广全,  —,  内蒙古,  兴安盟,  内蒙古自治区兴安盟扎赉特旗巴彦高勒镇永合村永合屯,  ,  ,  以其成员为主要服务对象，统一组织成员从事水产养殖、销售。,  农民专业合作社,  300,  人民币,  2019-05-14,  93152223MA0Q8GL1X5,  A 农、林、牧、渔业,  04,  ,  MA0Q8GL1-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  新疆天露南山渔业有限责任公司,  贺健,  0991-5942066,  新疆,  乌鲁木齐市,  新疆乌鲁木齐市乌鲁木齐县南旅基地南旅东路765号一号楼210室,  46558530@qq.com; 1161203866@qq.com,  ,  水产品养殖销售；鱼苗育种、销售；渔业科技技术咨询、开发、转让；商务信息咨询；加工销售：预包装食品兼散装食品；餐饮服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,  有限责任公司（非自然人投资或控股的法人独资）,  1000,  人民币,  2018-07-13,  91650121MA781HW10Q,  A 农、林、牧、渔业,  04,  ,  MA781HW1-0,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  洪湖市千湖渔歌水产养殖专业合作社,  郑恒,  0716-2636608,  湖北,  荆州市,  洪湖市大沙湖管理区石家办事处和平新村3号,  240162193@qq.com,  ,"  以本社成员为主要服务对象,从事水产养殖;组织收购,销售成员的产品;组织采购、供应成员所需的渔饲料;开展与水产养殖有关的技术培训、信息咨询服务。",  农民专业合作社,  500,  人民币,  2017-10-23,  93421083MA4CW9F77T,  A 农、林、牧、渔业,  04,  ,  MA4CW9F7-7,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  浙江兴邦远洋渔业有限公司,  朴太日,  0576-88456781；0576-88456782,  浙江,  台州市,  浙江省台州市温岭市石塘镇石华南路68号滨海苑13幢2号(仅限办公用),  ,  ,  海洋捕捞;初级食用农产品销售;货物进出口、技术进出口。,  有限责任公司(自然人投资或控股),  5880,  人民币,  2018-05-23,  91331081MA2AN2YU29,  A 农、林、牧、渔业,  04,  是,  MA2AN2YU-2,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  浠水县游甫咀养渔场,  周细阳,  0713-4769888,  湖北,  黄冈市,  浠水县丁司当镇油铺嘴村九组,  912779399@pp.com,  http://gsxt.saic.gov.cn,  淡水鱼养殖及销售;餐饮服务。,  个人独资企业,  ,  ,  2014-11-19,  91421125MA487GCXXM,  A 农、林、牧、渔业,  04,  ,  MA487GCX-X,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  海南兴江渔业科技有限公司,  潘胜田,  —,  海南,  海口市,  海南省海口市美兰区三江镇三江居坤山村东侧二栋1层,  13380888112@qq.com,  ,"  渔业科技,水产品养殖、收购、销售,水产种苗的引进、选种、育种、养殖及销售;水产、种苗所需饲料、肥料的收购、销售,水产品冷藏、运输、进出口贸易,鱼苗养殖技术服务,农产品收购、加工与销售,瓜果、蔬菜的种植,农业综合开发,预包装食品及散装食品、农资、化工产品购销,货物、技术及代理进出口)。(一般经营项目自主经营,许可经营项目凭相关许可证或者批准文件经营)",  有限责任公司(自然人投资或控股),  100,  人民币,  2017-09-04,  91460100MA5T10NX4G,  A 农、林、牧、渔业,  04,  ,  MA5T10NX-4,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  海南鲜道鲜德渔业有限公司,  梁南,  0898-68958329,  海南,  海口市,  海南省海口市琼山区凤翔路街道办事处五岳居委会尚道村铁龙路56号,  1625009191@qq.com,  ,"  养殖业,农副产品,冻品、海产品收购及销售。",  有限责任公司(自然人投资或控股),  1000,  人民币,  2017-08-09,  91460100MA5RJJX304,  A 农、林、牧、渔业,  04,  ,  MA5RJJX3-0,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  海安裕丰渔业服务有限公司,  张秀华,  0513-88266755,  江苏,  南通市,  海安县老坝港滨海新区(角斜镇)镇海村一组,  47526064@qq.com,  http://www.haianyufengyuye2016.com,  渔业机械服务;渔业信息咨询服务;海产品收购、销售。,  有限责任公司(自然人投资或控股),  20,  人民币,  2015-07-17,  ,  A 农、林、牧、渔业,  04,  ,  ,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  湖北省长湖生态渔业发展有限公司,  王多法,  0716-8189121,  湖北,  荆州市,  荆州纪南文化旅游生态区凤凰办事处2号办公楼201室,  1242723921@qq.com,  ,  水产品养殖;鱼苗、鱼种繁育;水产品加工、销售;生态农业休闲观光;建筑工程施工。,  有限责任公司(自然人独资),  3300,  人民币,  2017-09-04,  91421000MA4916UH4G,  A 农、林、牧、渔业,  04,  ,  MA4916UH-4,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  湖南子非鱼渔业有限公司,  张胜其,  0731-85220911；0731-82221155,  湖南,  长沙市,  长沙市开福区捞刀河街道双河路728号湖南省水产科学研究所内,  252536@sohu.com,  ,"  鱼种培育、养殖;养殖技术的研发、推广服务;生物技术推广服务;饲料研发;鱼病防治服务;水资源管理;海洋馆、水族馆展览;自营和代理各类商品及技术的进出口,但国家限定公司经营或禁止进出口的商品和技术除外;货物或技术进出口);饲料零售;观赏鱼、畜牧渔业饲料的批发。",  有限责任公司(自然人投资或控股),  500,  人民币,  2017-10-24,  91430105MA4M7AD29G,  A 农、林、牧、渔业,  04,  是,  MA4M7AD2-9,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  珠海市泓森渔业有限公司,  黄建区,  —,  广东,  珠海市,  珠海市横琴新区宝华路6号105室-44492(集中办公区),  ,  ,  章程记载的经营范围:为渔业生产活动提供支持性服务;海洋捕捞、水产养殖、水产品收购及运输和贮藏;拖轮、游轮、仪器仪表、渔业机械、渔具、电子产品、通信设备、建筑材料的销售。,  有限责任公司(自然人投资或控股),  100,  人民币,  2018-02-08,  91440400MA51BMDJ51,  A 农、林、牧、渔业,  04,  ,  MA51BMDJ-5,  在业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  益阳市大通湖区勤上水产养殖专业合作社,  徐佘余,  —,  湖南,  益阳市,  益阳市大通湖区千山红镇民和村,  ,  ,  鱼苗孵化、培育;淡水产品初加工、销售;引进水产养殖新技术;培育淡水产品新品种;组织成员开展水产养殖技术培训、提供成员养殖技术咨询、信息服务。,  农民专业合作社,  20,  人民币,  2018-12-27,  93430900MA4Q78KQ8A,  A 农、林、牧、渔业,  04,  ,  MA4Q78KQ-8,  存续,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  软件服务,,,,,  01588,  暢捷通信息技術股份有限公司,  Chanjet Information Technology Company Limited,  http://www.chanjet.com,  主板,"  畅捷通信技术股份有限公司主要从事通过互联网技术为中小型企业提供财务及管理服务业务。该公司的子公司包括畅捷通信息技术(香港)有限公司、畅捷通信息技术(美国)有限公司和畅捷通支付。该公司通过其子公司还从事计算机软件及硬件销售,计算机软件技术开发和互联网支付业务。",  82500000,  王文京,  UBS Group AG,  王文京(董事长) 王文京(非执行董事) 吴政平(非执行董事) 陈建文(独立非执行董事) 刘俊辉(独立非执行董事) 杨雨春(执行董事) 陈淑宁(独立非执行董事),  魏伟峰\鲍洁,  北京市海淀区永丰路9号院3号楼3层,  香港湾仔皇后大道东248号大新金融中心40楼,  香港中央证券登记有限公司,  安永华明会计师事务所（特殊普通合伙），安永会计师事务所,"  北京银行股份有限公司（中关村科技园支行）,宁波银行股份有限公司（北京分行）,招商银行股份有限公司（北京清华科技园支行）","  天元律师事务所,普衡律师事务所（香港法律）",  IR@chanjet.com,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  公用事业,,,,,  01597,  中國納泉能源科技控股有限公司,  China Nature Energy Technology Holdings Limited,  http://www.jyhyne.com,  主板,  中国纳泉能源科技控股有限公司是一家主要从事风机变桨控制系统及相关组件研发、整合、制造及销售业务的中国公司。该公司还从事风力发电、风电场运营及维护业务及提供风能相关咨询服务。该公司的主要客户包括内蒙古风机制造商及地方电网公司。,  250000000,  程里全,  弘远BVI,  叶俊安(独立非执行董事) 康健(独立非执行董事) 程里全(董事会主席) 程里全(执行董事) 程里伏(执行董事) 王鲁彬(非执行董事) 李浩(非执行董事) 李书升(独立非执行董事),  潘红煌;邓頴珊,  Cricket Square Hutchins Drive PO Box 2681 Grand Cayman KY1-1111 Cayman Islands,  香港黄竹坑黄竹坑道21号环汇广场21楼2104室,  香港中央证券登记有限公司,  毕马威会计师事务所,"  中国建设银行（江阴申港支行）,中国农业银行（江阴月城支行）","  Conyers Dill & Pearman,的近律师行,天元律师事务所",  sales@naturep.cn,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  支援服务,,,,,  01598,  中國21世紀教育集團有限公司,  China 21st Century Education Group Limited,  http://www.21centuryedu.com,  主板,"  中国21世纪教育集团有限公司是一家中国教育服务公司。公司主要为学校提供幼儿园,小学,初中,高中学前教育服务的学生,以及本校大专,继续教育学生的教育服务。公司主要通过石家庄理工职业学院,新天际辅导中心和新天际幼儿园三大板块开展业务。本公司主要在中国河北省开展业务。",  1167216000,  李雨浓(李德颂),  曹扬,  杨莉(执行董事) 李雨浓(董事长) 李雨浓(执行董事) 刘宏炜(执行董事) 任彩银(执行董事) 郭立田(独立非执行董事) 姚志军(独立非执行董事) 尹宸贤(独立非执行董事) 李亚晟(执行董事),  黄秀萍\杨洋,  Cricket Square Hutchins Drive PO Box 2681 Grand Cayman KY1-1111 Cayman Islands,  香港铜锣湾勿地臣街1号时代广场二座31楼,  卓佳证券登记有限公司,  安永会计师事务所,"  张家口银行石家庄分行,招商银行石家庄分行",  竞天公诚律师事务所有限法律责任合伙,  ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  建筑,,,,,  01599,  北京城建設計發展集團股份有限公司,"  Beijing Urban Construction Design & Development Group Co., Limited",  http://www.bjucd.com,  主板,  北京城建设计发展集团股份有限公司主要从事设计、勘察、咨询和工程承包业务。该公司通过两个业务部门运营。设计、勘察及咨询部从事提供有关城市轨道交通工程、市政管理及建筑工程的设计、测绘、检测及咨询服务业务。工程承包部从事提供有关城市轨道交通工程承包服务业务。,  387937000,  裴宏伟,  Amundi Ireland Ltd,  苏斌(非执行董事) 王汉军(执行董事) 李国庆(执行董事) 孙茂竹(独立非执行董事) 梁青槐(独立非执行董事) 任崇(非执行董事) 关继发(非执行董事) 任宇航(非执行董事) 吴东慧(非执行董事) 覃桂生(独立非执行董事) 马旭飞(独立非执行董事) 裴宏伟(董事长) 裴宏伟(非执行董事) 汪涛(非执行董事) 王国锋(独立非执行董事) 史桦鑫(非执行董事),  玄文昌、邝燕萍,  中国北京市西城区阜成门北大街五号,  香港湾仔皇后大道东248号大新金融中心40楼,  香港中央证券登记有限公司,  安永会计师事务所,  中国建设银行（北京分行北环支行）,"  高伟绅律师行,北京厚大合川律师事务所",  ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  公用事业,,,,,  01600,  天倫燃氣控股有限公司,  Tian Lun Gas Holdings Limited,  http://www.tianlungas.com,  主板,"  天伦燃气控股有限公司(原名:中国天伦燃气控股有限公司)是一家主要从事燃气零售业务和工程安装服务的公司。该公司共经营四个分部:瓦斯零售业务,瓦斯批发业务,工程安装及服务和所有其他分部。瓦斯零售业务从事销售瓦斯给住宅用户、工商业用户、交通用户。工程安装及服务包含燃气管道接驳和工程建设服务。瓦斯批发业务销售瓦斯给城市燃气企业直供及批发用户、气源贸易用户。所有其他分部业务包括投资性房地产的租赁,增值服务及其他杂项。",  1003615108,  张瀛岑,  孙燕熙,  张瀛岑(执行董事) 张瀛岑(主席) 冼振源(执行董事) 李留庆(独立非执行董事) 赵军(独立非执行董事) 李涛(执行董事) 刘民(执行董事) 刘劲(独立非执行董事) 陈虹(非执行董事) 欧亚群(独立非执行董事),  谭德机,"  Windward 3, Regatta Office Park PO Box 1350 Grand Cayman KY1-1108 Cayman Islands",  香港中环皇后大道中99号中环中心39楼3905室,  香港中央证券登记有限公司,  罗兵咸永道会计师事务所,"  中国建设银行股份有限公司,香港上海滙丰银行有限公司,中国银行股份有限公司",  龙炳坤、杨永安律师行,  hk@tianlungas.com,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  其他金融,,,,,  01601,  中關村科技租賃股份有限公司,"  Zhongguancun Science-Tech Leasing Co., Ltd.",  http://www.zgclease.com,  主板,"  中关村科技租赁股份有限公司是一家为中国科技和新经济公司提供服务的中国公司。公司专注于为科技及新经济公司提供高效的融资租赁解决方案和多样化的咨询服务,满足科技和新经济公司于不同发展阶段的金融服务需求。",  493334000,  段宏伟,  龙口市东江镇南山村村民委员会,  吴德龙(独立非执行董事) 段宏伟(非执行董事) 段宏伟(主席) 娄毅翔(非执行董事) 张书清(非执行董事) 何融峰(执行董事) 黄闻(执行董事) 程东跃(独立非执行董事) 林祯(独立非执行董事) 杜云超(非执行董事),  高伟,  中国北京市朝阳区容达路21号楼2至16层101内16层1610室,  香港湾仔皇后大道东248号大新金融中心40楼,  香港中央证券登记有限公司,  毕马威会计师事务所,"  江苏银行,北京银行,交通银行","  圣大律师事务所,麦家荣律师行",  ir@zgclease.com,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  其他金融,,,,,  01606,  國銀金融租賃股份有限公司,"  China Development Bank Financial Leasing Co., Ltd.",  http://www.cdb-leasing.com,  主板,  国银金融租赁股份有限公司是一家主要从事租赁业务业务的中国公司。该公司还从事办理租赁设备和物资的进出口业务、办理与租赁有关的金融业务以及办理代客外汇买卖业务。该公司运营四个业务部门。飞机租赁部门主要从事商用飞机的收购、租赁、管理和出售业务。基础设施租赁部门主要从事交通基础设施、城市基础设施以及能源基础设施的租赁业务。船舶、车辆和工程机械租赁部门主要从事船舶、车辆和工程机械租赁业务。其他租赁业务部门主要提供商业地产以及化工、造纸、纺织、煤炭和钢铁、风电、核能、光伏及其他行业制造设备的租赁业务。,  2769594000,  王学东,  三峡资本控股有限责任公司,  黄敏(执行董事) 李英宝(非执行董事) 郑学定(独立非执行董事) 徐进(独立非执行董事) 张宪初(独立非执行董事) 彭忠(代董事长) 彭忠(副董事长) 彭忠(执行董事) 王邦宜(非执行董事) 杨贵芳(非执行董事),  刘毅\李国辉,  中国广东省深圳市福田区福中三路2003号国银金融中心大厦,  香港铜锣湾勿地臣街1号时代广场二座31楼,  香港中央证券登记有限公司,  安永会计师事务所,"  国家开发银行,上海浦东发展银行,中国工商银行,中国建设银行,中国进出口银行,中国农业银行,中国银行,中信银行","  高伟绅律师行,上海市锦天城（深圳）律师事务所",  ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  公用事业,,,,,  01608,  偉能集團國際控股有限公司,  VPower Group International Holdings Limited,  http://www.vpower.com,  主板,"  伟能集团国际控股有限公司是一家中国香港投资控股公司。该公司及其子公司主要从事销售及安装发动机式发电机组,并提供分布式解决方案业务。该公司主要通过两个业务分部进行运营。系统集成(SI)业务分部从事设计、集成、销售及安装发动机式发电机组业务。投资、建设及运营(IBO)分部从事设计、投资、建设、出租及运营分布式发电站以提供分布式发电解决方案业务。该公司在中国香港、中国大陆、孟加拉国、印度尼西亚、缅甸及其他国家和地区开展业务。",  2701693013,  林而聪,  Energy Garden Limited,  蔡大维(独立非执行董事) 郭文亮(非执行董事) 孙怀宇(独立非执行董事) 杨炜辉(独立非执行董事) 林而聪(执行董事) 林而聪(主席) 李创文(执行董事) 卢少源(执行董事) 陈美云(非执行董事) 陈美云(副主席),  黄慧雯,"  Cricket Square Hutchins Drive PO Box 2681 Grand Cayman, KY1-1111 Cayman Islands",  香港九龙红磡德丰街18-22号海滨广场一座27楼2701-05室,  香港中央证券登记有限公司,  安永会计师事务所,"  香港上海滙丰银行有限公司,渣打银行（香港）有限公司,中国银行（香港）有限公司,恒生银行有限公司,大华银行香港分行,花旗银行",  高伟绅律师事务所,  INFO@VPOWER.COM,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,  资讯科技器材,,,,,  01617,  南方通信控股有限公司,  Nanfang Communication Holdings Limited,  http://www.jsnfgroup.com,  主板,"  南方通讯控股有限公司主要从事制造和销售光纤电缆产品业务。 该公司的光纤电缆产品依据装配结构的不同主要分为两大类:中心管式光纤电缆和层绞式光纤电缆。 该公司还生产其他类型的光纤电缆,如接入网用蝶形引入光缆和特种光缆。该公司还生产和销售其他辅助产品,例如用于本地电话网络的铜制通信电缆和用作各种电气设备(如变压器)的绕组线铜制搪瓷线。该公司还销售电缆配套产品,如从第三方采购的光纤连接器等。 该公司的光纤电缆常用于移动通信网络、因特网网络和固定电话网络等电信网络。",  1232000000,  于金来,  Pacific Mind Development Limited,  陈继荣(独立非执行董事) 林芝强(独立非执行董事) 胡永权(独立非执行董事) 石明(执行董事) 于茹敏(执行董事) 于茹萍(执行董事) 于金来(董事长) 于金来(非执行董事),  罗满芳,  Cricket Square Hutchins Drive PO Box 2681 Grand Cayman KY1-1111 Cayman Islands,  香港湾仔告士打道151号资本中心9楼902室,  卓佳证券登记有限公司,  立信德豪会计师事务所有限公司,"  香港上海滙丰银行有限公司,中国银行（香港）有限公司","  Conyers Dill & Pearman,胡百全律师事务所,通商律师事务所",  info@jsnfgroup.com,,,,,,,,,,,,,,,,,,,,
